Opened,Open,High,Low,Close,Volume
2021-09-27 09:55:00,60.585,61.188,60.330,60.699,116143.9
2021-09-27 10:00:00,60.695,60.852,60.404,60.664,72615.3
2021-09-27 10:05:00,60.671,61.127,60.671,61.125,83087.2
2021-09-27 10:10:00,61.129,61.260,60.920,61.000,76138.1
2021-09-27 10:15:00,61.000,61.799,60.822,61.436,139869.8
2021-09-27 10:20:00,61.439,61.605,61.000,61.101,85287.7
2021-09-27 10:25:00,61.101,61.142,60.708,60.920,42017.6
2021-09-27 10:30:00,60.921,61.207,60.771,61.198,44872.7
2021-09-27 10:35:00,61.192,61.324,60.939,61.280,30339.2
2021-09-27 10:40:00,61.274,61.634,61.207,61.511,41741.0
2021-09-27 10:45:00,61.517,61.653,61.354,61.545,52350.6
2021-09-27 10:50:00,61.559,61.990,61.500,61.851,106509.7
2021-09-27 10:55:00,61.859,62.614,61.748,61.938,183551.2
2021-09-27 11:00:00,61.938,62.366,61.732,61.746,106537.2
2021-09-27 11:05:00,61.745,61.861,61.547,61.715,60841.5
2021-09-27 11:10:00,61.715,61.809,61.327,61.554,82675.4
2021-09-27 11:15:00,61.561,61.896,61.509,61.870,57211.5
2021-09-27 11:20:00,61.861,61.954,61.651,61.748,29146.8
2021-09-27 11:25:00,61.748,61.925,61.580,61.855,42181.4
2021-09-27 11:30:00,61.856,61.893,61.485,61.736,96613.3
2021-09-27 11:35:00,61.736,62.158,61.730,62.120,77772.7
2021-09-27 11:40:00,62.138,62.469,62.104,62.288,124309.0
2021-09-27 11:45:00,62.284,62.748,62.263,62.359,130707.5
2021-09-27 11:50:00,62.359,62.597,62.156,62.390,73367.0
2021-09-27 11:55:00,62.384,62.520,62.150,62.290,48243.9
2021-09-27 12:00:00,62.288,62.520,61.195,61.312,170916.2
2021-09-27 12:05:00,61.295,61.696,61.244,61.376,80009.6
2021-09-27 12:10:00,61.366,61.484,61.006,61.080,88485.8
2021-09-27 12:15:00,61.082,61.272,60.666,61.032,158334.1
2021-09-27 12:20:00,61.029,61.268,60.920,61.188,57758.2
2021-09-27 12:25:00,61.190,61.280,60.896,60.975,37825.1
2021-09-27 12:30:00,60.983,61.043,60.666,61.043,90463.6
2021-09-27 12:35:00,61.026,61.438,60.916,61.347,54623.9
2021-09-27 12:40:00,61.347,61.447,61.119,61.427,25861.6
2021-09-27 12:45:00,61.428,61.922,61.294,61.725,65088.9
2021-09-27 12:50:00,61.729,61.863,61.354,61.493,65409.2
2021-09-27 12:55:00,61.493,61.800,61.426,61.467,44945.0
2021-09-27 13:00:00,61.483,61.636,61.203,61.570,54285.7
2021-09-27 13:05:00,61.575,61.698,61.510,61.621,25351.9
2021-09-27 13:10:00,61.627,61.810,61.390,61.401,36258.6
2021-09-27 13:15:00,61.389,61.557,60.880,61.060,42234.6
2021-09-27 13:20:00,61.056,61.365,60.934,61.288,33165.2
2021-09-27 13:25:00,61.287,61.516,61.238,61.283,19655.8
2021-09-27 13:30:00,61.283,61.494,60.678,60.793,77446.9
2021-09-27 13:35:00,60.799,60.964,60.204,60.716,111749.3
2021-09-27 13:40:00,60.710,60.798,60.346,60.589,63896.9
2021-09-27 13:45:00,60.584,60.864,60.480,60.704,34731.8
2021-09-27 13:50:00,60.720,60.987,60.525,60.987,28956.1
2021-09-27 13:55:00,60.987,61.125,60.855,60.859,28986.7
2021-09-27 14:00:00,60.852,61.100,60.729,61.096,35039.4
2021-09-27 14:05:00,61.094,61.431,61.013,61.177,43873.9
2021-09-27 14:10:00,61.179,61.427,61.055,61.237,21000.3
2021-09-27 14:15:00,61.257,61.518,61.132,61.163,37347.5
2021-09-27 14:20:00,61.165,61.377,60.889,61.271,55048.6
2021-09-27 14:25:00,61.264,61.579,61.260,61.447,44091.2
2021-09-27 14:30:00,61.440,62.684,61.243,62.420,174567.3
2021-09-27 14:35:00,62.414,62.540,60.808,61.041,206707.2
2021-09-27 14:40:00,61.068,61.368,60.670,60.948,145218.7
2021-09-27 14:45:00,60.934,61.265,60.464,60.486,92770.3
2021-09-27 14:50:00,60.472,60.507,59.637,60.045,179504.8
2021-09-27 14:55:00,60.051,60.143,59.308,60.067,158966.7
2021-09-27 15:00:00,60.060,60.306,59.400,60.238,119597.3
2021-09-27 15:05:00,60.233,60.577,60.025,60.254,89324.3
2021-09-27 15:10:00,60.238,60.255,59.625,59.870,83344.1
2021-09-27 15:15:00,59.850,60.350,59.707,60.156,59387.0
2021-09-27 15:20:00,60.165,60.273,59.822,59.843,47164.2
2021-09-27 15:25:00,59.838,60.420,59.838,60.296,50930.9
2021-09-27 15:30:00,60.295,60.593,60.223,60.352,57610.5
2021-09-27 15:35:00,60.353,60.668,60.239,60.449,39476.1
2021-09-27 15:40:00,60.460,60.671,60.402,60.609,28262.8
2021-09-27 15:45:00,60.609,61.250,60.395,61.175,106829.6
2021-09-27 15:50:00,61.168,62.128,61.123,61.767,137116.1
2021-09-27 15:55:00,61.760,62.474,61.662,62.319,207898.0
2021-09-27 16:00:00,62.330,62.973,61.683,61.915,326375.5
2021-09-27 16:05:00,61.907,62.000,61.650,61.742,82421.0
2021-09-27 16:10:00,61.741,61.765,61.270,61.504,81335.3
2021-09-27 16:15:00,61.512,61.958,61.314,61.773,82427.1
2021-09-27 16:20:00,61.771,61.771,61.317,61.371,43384.0
2021-09-27 16:25:00,61.376,61.547,60.844,61.121,95035.9
2021-09-27 16:30:00,61.121,61.374,60.953,61.129,41990.2
2021-09-27 16:35:00,61.128,61.300,60.840,60.921,35099.7
2021-09-27 16:40:00,60.921,61.011,60.512,60.799,73007.1
2021-09-27 16:45:00,60.806,61.179,60.185,60.380,115991.5
2021-09-27 16:50:00,60.374,60.731,60.291,60.692,42520.0
2021-09-27 16:55:00,60.724,61.281,60.696,61.252,68203.1
2021-09-27 17:00:00,61.251,61.469,61.075,61.399,46903.6
